pageid,title,wikidata,label
392497,Letsie III,Q57537,Letsie III of Lesotho
6423865,Ntlhoi Motsamai,Q7067635,Ntlhoi Motsamai
54391862,Selibe Mochoboroane,Q30702245,Selibe Mochoboroane
63516924,Moeketsi Majoro,Q91621859,Moeketsi Majoro
64276950,Mathibeli Mokhothu,Q96286614,Mathibeli Mokhothu
64574024,'Matšepo Ramakoae,Q95587340,’Matšepo Ramakoae
68763112,Motlohi Maliehe,Q108599088,Motlohi Maliehe
68771275,Motlalentoa Letsosa,Q108608872,Motlalentoa Letsosa
68813013,Likeleli Tampane,Q108687143,Likeleli Tampane
68813076,Keketso Utloang Sello,Q108687218,Keketso Utloang Sello
68835060,Lebohang Monaheng,Q108731847,Lebohang Monaheng
68835301,Lekhetho Rakuoane,Q108732213,Lekhetho Rakuoane
68845794,Mamonaheng Mokitimi,Q108744062,Mamonaheng Mokitimi
68906533,Sephiri Motanyane,Q108815284,Sephiri Motanyane
