position,person,personID,start,end
King,Letsie III of Lesotho,Q57537,1996-01-15,
Prime Minister,Moeketsi Majoro,Q91621859,2020-05-20,
Deputy Prime Minister,Mathibeli Mokhothu,Q96286614,2020-05-21,
Minister of Agriculture and Food Security,Keketso Utloang Sello,Q108687218,2022-04-23,
"Minister of Communications, Science and Technology",Tšoinyane Rapapa,Q109821004,2021-10-19,
Minister of Defence and National Security,Halebonoe Setšabi,Q109820132,2021-10-19,
Minister of Development and Planning,Selibe Mochoboroane,Q30702245,2020-05-21,
Minister of Education and Training,‘Mamookho Phiri,Q109821061,2021-10-19,
Minister of Energy and Meteorology,Mohapi Mohapinyane,Q109820651,2020-05-28,
Minister of Finance,Thabo Sofonea,Q99355412,2020-05-19,
Minister of Foreign Affairs,’Matšepo Ramakoae,Q95587340,2020-05-21,
Minister of Forestry and Land Reclamation,Motlohi Maliehe,Q108599088,2021-10-19,
"Minister of Gender and Youth, Sports and Recreation",Likeleli Tampane,Q108687143,2020-05-21,
Minister of Health,Semano Sekatle,Q109820899,2021-02-15,
Minister of Home Affairs,Motlalentoa Letsosa,Q108608872,2020-05-21,
Minister of Justice,Lekhetho Rakuoane,Q108732213,2021-10-19,
Minister of Labour and Employment,Selemo Mangobe,Q111751980,2022-04-23,
Minister of Local Government and Chieftainship,Moshe Leoma,Q109820789,2022-04-23,
Minister of Mining,Serialong Qoo,Q109820943,2020-05-21,
Minister of Parliamentary Affairs,Mathibeli Mokhothu,Q96286614,2020-05-21,
Minister of Police and Public Safety,Lepota Sekola,Q109820321,2021-10-19,
Minister in the Prime Minister's Office,Likopo Mahase,Q109820492,2021-10-20,
Minister of Public Service,Lehlohonolo Moramotse,Q109820286,2022-04-23,
Minister of Public Works,Lebohang Monaheng,Q108731847,2020-05-21,
"Minister of Small Business Development, Cooperatives and Marketing",Machesetsa Mofomobe,Q109820556,2021-09-01,
Minister of Social Development,‘Matebatso Doti,Q109821094,2020-05-21,
"Minister of Tourism, Environment and Culture",Ntlhoi Motsamai,Q7067635,2021-10-19,
Minister of Trade and Industry,Thabiso Molapo,Q109820079,2020-05-28,
Minister of Transport,Mohl. Tšoeu Mokeretla,Q109820720,2020-05-21,
Minister of Water,Kemiso Mosenene,Q109820237,2021-10-13,
Deputy Minister of Agriculture and Food Security,Letsitsi Mokoma,Q112839313,2020-05-21,
Deputy Minister of Education and Training,‘Maletsema Letsoepa-Lenkoane,Q112839528,2020-05-21,
Deputy Minister of Foreign Affairs and International Relations,Tšeliso Kalake,Q112839523,2020-05-21,
Deputy Minister of Home Affairs,Maimane Maphathe,Q112839477,2020-05-21,
"Deputy Minister of Gender, Youth and Sports",Phutuhelo Mafereka,Q112839502,2020-05-21,
Deputy Minister of Law and Justice,Tumahole Lerafa,Q112839513,2020-05-21,
Deputy Minister of Local Government and Chieftainship Affairs,Mathato Phafoli,Q112839493,2020-05-21,
Deputy Minister of Water Affairs,Mankoe Maime,Q112839485,2020-05-21,
President of the Senate,Mamonaheng Mokitimi,Q108744062,2017-07-11,
Speaker of the National Assembly,Sephiri Motanyane,Q108815284,2017-06-12,
Governor of the Central Bank,Retselisitsoe Matlanyane,Q109821337,2012-01-01,
Commander of the Defence Force,Mojalefa Letsoela,Q109821443,2018-01-23,
