@@,itemlabel,positionlabel
+++,Adv. Lekhetho Rakuoane,Ministry of Law and Justice
+++,Dr Thabiso Molapo,Ministry of Trade and Industry
->,Halebonoe Setšabi,Minister of Defence and National Security->Ministry of Defence and National Security
+++,Keketso Sello,Ministry of Agriculture and Food Security
---,Keketso Utloang Sello,Minister of Public Service
---,Keketso Utloang Sello,Minister of Agriculture and Food Security
->,Kemiso Mosenene,Minister of Water->Ministry of Water Affairs
+++,Lebohang Monahaneng,Ministry of Public Works
---,Lebohang Monaheng,Minister of Public Works
---,Lehlohonolo Moramotse,Minister of Public Service
---,Lehlohonolo Moramotse,Minister of Local Government and Chieftainship
+++,Lehlohonolo Moramotse,Ministry of Public Service
---,Lekhetho Rakuoane,Minister of Justice of Lesotho
->,Lepota Sekola,Minister of Police and Public Safety->Ministry of Police and Public Safety
+++,Letsitsi Mokoma,Deputy Minister of Agriculture and Food Security
->,Likeleli Tampane,"Minister of Gender and Youth, Sports and Recreation->Ministry of Gender and Youth, Sports and Recreation"
->,Likopo Mahase,Minister in the Prime Minister's Office->Prime Minister’s Office
->,Machesetsa Mofomobe,"Minister of Small Business Development, Cooperatives and Marketing->Ministry of Small Business Development, Co-operatives and Marketing"
+++,Maimane Maphathe,Deputy Minister of Home Affairs
+++,Mamookho Phiri,Ministry of Education and Training
+++,Mankoe Maime,Deputy Minister of Water Affairs
+++,Mathato Phafoli,Deputy Minister of Local Government and Chieftainship Affairs
---,Mathibeli Mokhothu,Deputy Prime Minister of Lesotho
---,Mathibeli Mokhothu,Minister of Parliamentary Affairs
---,Moeketsi Majoro,Prime Minister of Lesotho
->,Mohapi Mohapinyane,Minister of Energy and Meteorology->Ministry of Energy and Meteorology
---,Mohl. Tšoeu Mokeretla,Minister of Transport
---,Moshe Leoma,Minister of Labour and Employment
---,Moshe Leoma,Minister of Local Government and Chieftainship
+++,Moshe Leoma,Ministry of Local Government and Chieftainship Affairs
->,Motlalentoa Letsosa,Minister of Home Affairs->Ministry of Home Affairs
->,Motlohi Maliehe,Minister of Forestry and Land Reclamation->Ministry of Forestry and Land Reclamation
---,Nkaku Kabi,Minister of Agriculture and Food Security
->,Ntlhoi Motsamai,"Minister of Tourism, Environment and Culture->Ministry of Tourism, Environment and Culture"
+++,Phutuhelo Mafereka,"Deputy Minister of Gender, Youth and Sports"
->,Selemo Mangobe,Minister of Labour and Employment->Ministry of Labour and Employment
->,Selibe Mochoboroane,Minister of Development and Planning->Ministry of Development Planning
->,Semano Sekatle,Minister of Health of Lesotho->Ministry of Health
->,Serialong Qoo,Minister of Mining->Ministry of Mining
---,Thabiso Molapo,Minister of Trade and Industry
---,Thabo Sofonea,Finance minister of Lesotho
+++,Thabo Sophonea,Ministry of Finance
+++,Tumahole Lerafa,Ministry of Law and Justice
+++,Tšeliso Kalake,Deputy Minister of Foreign Affairs and International Relations
->,Tšoinyane Rapapa,"Minister of Communications, Science and Technology->Ministry of Communication, Science & Technology"
+++,Tṥoeu Mokeretla,Ministry of Transport
+++,‘Maletsema Letsoepa-Lenkoane,Deputy Minister of Education and Training
---,‘Mamookho Phiri,Minister of Education and Training
->,‘Matebatso Doti,Minister of Social Development->Ministry of Social Development
+++,‘Matṥepo Ramakoae,Ministry of Foreign Affairs and International Relations
---,’Matšepo Ramakoae,Foreign Minister of Lesotho
