item,itemLabel,position,positionLabel,startDate,endDate,psid
Q108599088,Motlohi Maliehe,Q109819668,Minister of Forestry and Land Reclamation,2021-10-19,,Q108599088-8AF99003-1F7E-4A7F-9D9A-E3C19C81C7D5
Q108608872,Motlalentoa Letsosa,Q109819704,Minister of Home Affairs,2020-05-21,,Q108608872-F0B73F71-60A1-4E41-8C9D-5C5EF4417AA0
Q108610363,Nkaku Kabi,Q109819869,Minister of Agriculture and Food Security,2021-10-13,2021-12-05,Q108610363-90841386-273E-48F1-B4B3-059DA7075D4F
Q108687143,Likeleli Tampane,Q109819780,"Minister of Gender and Youth, Sports and Recreation",2020-05-21,,Q108687143-68BA6C5E-0DE4-414B-ABA2-5B2ECDEDE686
Q108687218,Keketso Utloang Sello,Q109819869,Minister of Agriculture and Food Security,2022-04-23,,Q108687218-42C5A8FB-8C6F-4593-B95C-8994EEDA019F
Q108687218,Keketso Utloang Sello,Q109819950,Minister of Public Service,2021-10-19,2022-04-23,Q108687218-4F76C39D-8F37-4B7B-A294-5C1300E4F760
Q108731847,Lebohang Monaheng,Q109819810,Minister of Public Works,2020-05-21,,Q108731847-E670F78C-BE3F-4E7B-B685-F157BD3515EA
Q108732213,Lekhetho Rakuoane,Q99520897,Minister of Justice of Lesotho,2021-10-19,,Q108732213-4AF901B2-0586-412D-8242-A085541F4A26
Q109820079,Thabiso Molapo,Q109820081,Minister of Trade and Industry,2020-05-28,,Q109820079-2C94CF2C-4708-471B-8ACD-E315F334F2F6
Q109820132,Halebonoe Setšabi,Q109820133,Minister of Defence and National Security,2021-10-19,,Q109820132-88747D56-E573-47BA-BEC0-053B53E22199
Q109820237,Kemiso Mosenene,Q109820239,Minister of Water,2021-10-13,,Q109820237-BEF353E4-4F5C-44E7-9B26-68EEE4DA5598
Q109820286,Lehlohonolo Moramotse,Q109819950,Minister of Public Service,2022-04-23,,Q109820286-10747A36-2A9E-4F95-A1B8-88D7DCB98B96
Q109820286,Lehlohonolo Moramotse,Q109820288,Minister of Local Government and Chieftainship,2021-10-19,2022-04-23,Q109820286-2D98CA22-08B0-4046-B60C-3066E4A5D597
Q109820321,Lepota Sekola,Q109820323,Minister of Police and Public Safety,2021-10-19,,Q109820321-B366F107-2EDB-4BAB-9BF9-DC54B245994B
Q109820492,Likopo Mahase,Q109820493,Minister in the Prime Minister's Office,2021-10-20,,Q109820492-8B37D48B-1785-458A-8667-BA0BFD573388
Q109820556,Machesetsa Mofomobe,Q109820559,"Minister of Small Business Development, Cooperatives and Marketing",2021-09-01,,Q109820556-B433E728-1838-4676-B85C-81FC392D1170
Q109820651,Mohapi Mohapinyane,Q109820653,Minister of Energy and Meteorology,2020-05-28,,Q109820651-1DFB3496-01A6-42FD-B56F-C46EA5F75BAA
Q109820720,Mohl. Tšoeu Mokeretla,Q109820722,Minister of Transport,2020-05-21,,Q109820720-668671C3-F562-4CF6-8A07-44FA4E6F1102
Q109820789,Moshe Leoma,Q109820288,Minister of Local Government and Chieftainship,2022-04-23,,Q109820789-13232914-20DB-4B1F-B235-CE182845FE13
Q109820789,Moshe Leoma,Q109820791,Minister of Labour and Employment,2021-07-25,2022-04-22,Q109820789-83152716-6266-455A-B3B0-5C4D36AC71DB
Q109820899,Semano Sekatle,Q109820901,Minister of Health of Lesotho,2021-02-15,,Q109820899-A3A69AC5-FBCE-4471-ADDD-8D494B23C6B2
Q109820943,Serialong Qoo,Q109820945,Minister of Mining,2020-05-21,,Q109820943-3C42573F-FD8F-4FF4-880B-A6FF0AD9E315
Q109821004,Tšoinyane Rapapa,Q109821005,"Minister of Communications, Science and Technology",2021-10-19,,Q109821004-B32FB66A-7520-4232-BEC7-0373F0C1508A
Q109821061,‘Mamookho Phiri,Q109821063,Minister of Education and Training,2021-10-19,,Q109821061-43A61DE8-52BA-4D03-8510-89391AE79946
Q109821094,‘Matebatso Doti,Q109821096,Minister of Social Development,2020-05-21,,Q109821094-052E9E2A-5285-4EBD-92A1-B59CC5848790
Q111751980,Selemo Mangobe,Q109820791,Minister of Labour and Employment,2022-04-23,,Q111751980-0C26FD5E-1AD8-4988-BD7D-65236DDD2893
Q30702245,Selibe Mochoboroane,Q109819798,Minister of Development and Planning,2020-05-21,,Q30702245-FB7367FF-0B72-455A-863C-2B94BC9AE581
Q7067635,Ntlhoi Motsamai,Q109819751,"Minister of Tourism, Environment and Culture",2021-10-19,,Q7067635-540D13D0-00AA-48F2-9A5B-ADD180CABC3A
Q91621859,Moeketsi Majoro,Q30101454,Prime Minister of Lesotho,2020-05-20,,Q91621859-9ea9a590-4196-9a80-4a56-66f0b922639b
Q95587340,’Matšepo Ramakoae,Q99518198,Foreign Minister of Lesotho,2020-05-21,,Q95587340-99A13903-E068-4FDD-B306-9FC418A6422D
Q96286614,Mathibeli Mokhothu,Q109819569,Minister of Parliamentary Affairs,2020-05-21,,Q96286614-878D3D2D-F6AE-474E-91BD-9FD528646737
Q96286614,Mathibeli Mokhothu,Q109819546,Deputy Prime Minister of Lesotho,2020-05-21,,Q96286614-9E5E8917-95D9-4E16-AEA2-8C1343AF33B7
Q99355412,Thabo Sofonea,Q99354860,Finance minister of Lesotho,2020-05-19,,Q99355412-851591ef-4f39-b221-9fa7-0958d0d9f09e
